source,new_source,group,dijkstra_dheap,rdijkstra_dag_dheap,rdijkstra_tree_dheap,rauction_dag_dheap,rauction_tree_dheap,dijkstra_radix,rdijkstra_dag_radix,rdijkstra_tree_radix,rauction_dag_radix,rauction_tree_radix
108210,41308,1,39.261,40.260,38.957,18.387,18.521,18.480,17.645,17.395,18.360,18.756
108210,41308,1,40.459,42.146,38.611,18.669,18.563,18.629,17.617,24.722,25.554,19.985
108210,88042,2,65.297,60.233,48.954,57.388,48.475,19.995,18.087,18.004,41.999,42.563
108210,88042,2,39.367,40.493,38.524,41.342,45.582,36.651,27.491,23.878,46.677,48.644
108210,86405,2,49.628,51.699,53.155,12.483,12.030,23.422,22.188,23.732,11.605,11.072
108210,86405,2,58.483,62.354,63.081,14.888,14.711,30.591,28.950,25.746,12.247,13.210
108210,85929,2,42.177,41.335,43.267,34.397,34.839,19.486,18.698,18.828,34.006,36.221
108210,85929,2,41.947,38.415,43.901,37.781,38.163,26.008,22.473,24.744,38.564,38.411
108210,154024,3,59.008,62.071,58.352,14.642,13.961,25.680,23.837,24.372,13.616,12.662
108210,154024,3,43.915,41.786,39.718,12.304,12.225,18.841,19.115,17.827,12.394,12.459
108210,73362,3,38.953,40.457,38.918,6.906,5.170,18.954,20.089,19.174,4.294,4.026
108210,73362,3,44.851,43.784,40.474,4.274,4.030,20.717,18.354,17.738,4.494,4.328
108210,19559,3,39.016,40.998,38.489,2.232,2.008,18.583,17.897,19.869,2.333,2.021
108210,19559,3,38.623,39.245,39.532,2.305,2.012,19.052,18.494,18.213,2.242,2.004
108210,31262,4,40.904,39.283,39.682,2.196,2.069,18.644,17.613,17.563,2.180,2.003
108210,31262,4,39.547,43.687,40.348,2.412,2.045,19.624,18.202,17.614,2.169,2.025
108210,6841,4,38.945,45.757,45.006,6.444,6.219,22.038,20.621,20.204,7.149,6.084
108210,6841,4,47.024,46.963,44.230,6.388,6.053,19.749,17.751,17.620,6.231,6.066
108210,44511,4,39.617,40.584,38.788,2.246,2.028,20.222,18.110,18.424,2.178,2.021
108210,44511,4,38.822,40.488,41.825,2.250,2.013,19.323,19.150,22.940,2.434,2.265
108210,120687,5,49.938,46.625,49.986,9.180,9.069,23.553,23.926,21.867,9.573,9.070
108210,120687,5,47.694,46.670,47.685,9.652,8.945,25.500,22.516,20.658,9.588,8.571
108210,1159,5,41.259,41.337,42.249,2.286,2.295,19.989,19.838,20.949,2.285,2.097
108210,1159,5,49.613,52.593,46.717,2.689,2.640,21.082,22.304,23.506,2.391,2.236
108210,108284,5,46.587,48.817,46.709,4.621,4.317,20.845,20.494,21.736,4.263,4.064
108210,108284,5,47.898,44.646,42.969,4.446,4.098,19.790,21.727,20.222,4.607,4.093
