source,new_source,group,dijkstra_dheap,rdijkstra_dag_dheap,rdijkstra_tree_dheap,rauction_dag_dheap,rauction_tree_dheap,dijkstra_radix,rdijkstra_dag_radix,rdijkstra_tree_radix,rauction_dag_radix,rauction_tree_radix
87561,29457,1,48.990,50.638,56.111,67.537,67.448,22.633,20.483,19.209,65.163,62.522
87561,29457,1,43.923,47.147,46.061,64.045,68.428,23.841,20.473,20.372,66.200,62.442
87561,124557,1,41.833,39.378,40.611,10.758,11.190,19.794,19.501,20.213,11.051,11.134
87561,124557,1,43.063,37.052,35.002,10.153,10.213,17.240,16.153,17.463,10.516,10.886
87561,115060,1,39.431,40.395,39.453,4.250,4.339,18.222,16.791,17.036,4.124,4.200
87561,115060,1,37.249,37.601,35.386,4.132,4.147,17.002,15.996,16.776,4.121,4.141
87561,119363,2,37.099,36.535,44.555,4.152,4.181,20.924,19.883,21.810,4.341,4.869
87561,119363,2,67.607,54.689,51.483,5.300,4.221,23.571,22.958,20.727,6.299,4.740
87561,27204,2,46.893,52.684,54.925,8.422,9.535,21.228,21.530,21.061,8.377,8.855
87561,27204,2,46.057,43.411,43.719,8.948,8.250,21.406,19.386,19.258,8.723,8.345
87561,105242,2,44.221,43.625,43.827,6.213,6.414,18.577,17.474,17.879,6.151,6.169
87561,105242,2,36.703,38.486,35.691,6.138,6.139,17.279,16.785,16.182,6.245,6.340
87561,143065,3,37.899,35.328,35.101,4.112,4.101,17.200,16.878,17.144,4.118,4.213
87561,143065,3,35.950,35.465,35.260,4.093,4.154,17.214,16.151,16.144,4.118,4.103
87561,144161,3,36.152,36.694,35.120,8.470,8.448,17.236,16.193,16.015,8.110,8.150
87561,144161,3,36.503,35.793,35.495,8.139,8.078,17.393,16.152,16.036,8.080,8.119
87561,48206,3,35.982,35.326,34.906,10.128,10.161,17.177,16.112,16.051,10.161,10.169
87561,48206,3,35.479,35.139,34.778,10.117,10.150,17.229,16.184,16.059,10.170,10.158
87561,82545,4,37.751,35.263,34.982,8.136,8.163,17.134,16.137,16.007,8.103,8.125
87561,82545,4,35.380,35.435,34.945,8.138,8.151,16.982,16.147,16.081,8.200,8.139
87561,57451,4,36.759,35.104,35.262,6.115,6.101,17.011,16.489,16.009,6.101,6.113
87561,57451,4,35.194,34.993,35.162,6.128,6.122,16.951,16.143,16.179,6.139,6.163
87561,1040,4,37.971,47.608,54.060,11.204,14.978,18.290,18.663,18.687,10.277,10.269
87561,1040,4,35.993,40.190,53.077,10.932,10.332,18.501,17.622,16.244,10.139,10.138
87561,119201,5,46.106,50.445,43.597,8.488,8.186,24.289,17.223,16.917,8.293,8.273
87561,119201,5,37.517,40.246,37.417,8.218,8.180,18.588,20.892,20.879,10.164,9.119
87561,44059,5,50.528,50.401,47.374,17.155,7.337,21.901,22.842,22.192,15.850,7.056
87561,44059,5,43.950,47.087,48.812,15.598,6.859,28.527,23.830,22.087,16.722,8.495
87561,28693,5,38.015,39.124,39.892,2.092,2.126,17.692,17.749,19.437,2.171,2.150
87561,28693,5,39.437,45.099,37.895,2.194,2.157,17.649,16.973,17.482,2.129,2.406
87561,147677,6,35.237,43.302,65.960,4.949,5.397,26.766,24.918,25.535,5.554,5.243
87561,147677,6,45.242,43.054,41.514,4.531,4.362,18.308,20.054,19.672,4.384,4.144
87561,143681,6,38.112,35.925,35.402,8.169,6.178,17.354,16.726,16.512,8.151,6.149
87561,143681,6,35.211,35.962,41.887,8.358,6.215,17.981,16.144,16.000,8.410,6.144
87561,34298,6,42.934,35.018,35.692,4.165,4.136,17.198,16.017,16.067,4.320,4.126
87561,34298,6,35.490,34.649,34.366,4.122,4.157,17.011,22.710,17.998,4.223,4.177
87561,78929,7,35.512,34.566,34.430,2.100,2.165,16.910,17.557,16.211,2.088,2.119
87561,78929,7,35.133,34.746,34.648,2.112,2.167,16.954,16.563,15.958,2.096,2.135
87561,118837,7,35.123,35.427,35.113,2.080,2.126,17.474,16.108,16.303,2.099,2.157
87561,118837,7,35.016,36.532,39.820,2.143,2.231,17.448,16.868,16.318,2.078,2.177
87561,107982,7,35.155,34.732,35.453,4.230,4.178,22.911,18.322,17.367,4.125,4.140
87561,107982,7,35.279,34.694,42.879,4.119,4.180,22.843,16.063,16.329,4.122,4.134
87561,131758,8,39.475,35.916,34.594,2.087,2.174,17.062,16.729,16.320,2.095,2.125
87561,131758,8,36.555,35.169,34.845,2.099,2.143,17.046,15.926,16.496,2.132,2.142
87561,16185,8,35.344,35.122,34.755,2.119,2.134,16.825,16.005,15.936,2.101,2.171
87561,16185,8,36.002,34.974,38.362,2.091,2.142,16.930,16.111,16.010,2.095,2.163
87561,74373,8,37.024,36.898,41.805,2.422,2.432,19.838,19.176,19.949,2.538,2.297
87561,74373,8,40.935,38.499,38.369,2.180,2.120,18.399,16.959,16.250,2.096,2.170
87561,22987,9,36.380,38.016,38.804,4.422,4.133,18.206,18.948,18.244,4.435,4.180
87561,22987,9,38.215,38.754,41.133,4.822,4.295,18.264,18.489,16.611,4.536,4.114
87561,35409,9,52.572,37.348,37.946,4.276,4.348,17.729,16.798,17.051,4.211,4.254
87561,35409,9,41.575,39.983,46.102,4.814,4.759,20.221,19.881,19.012,4.594,4.767
87561,1559,9,42.761,39.441,40.099,4.267,4.313,19.068,18.082,17.817,4.129,4.146
87561,1559,9,37.208,37.590,39.408,4.240,4.196,18.440,17.668,17.507,4.232,4.256
87561,36457,10,38.897,37.837,38.775,2.121,2.342,17.192,16.043,16.002,2.100,2.144
87561,36457,10,35.076,34.965,35.534,2.100,2.122,17.935,16.824,16.031,2.103,2.164
87561,117541,10,36.162,39.016,37.527,2.108,2.179,17.981,17.468,16.937,2.096,2.152
87561,117541,10,35.766,35.685,34.701,2.087,2.124,17.907,16.151,15.829,2.103,2.131
87561,113749,10,39.394,48.414,43.820,2.089,2.230,18.034,17.853,17.426,2.114,2.206
87561,113749,10,38.000,35.235,36.193,4.552,2.111,16.926,15.969,15.958,2.094,2.154
108210,151082,1,43.194,43.741,42.915,73.702,73.372,18.926,16.828,16.890,73.798,70.888
108210,151082,1,38.069,38.255,39.918,70.550,71.618,20.137,18.277,18.002,69.263,70.059
108210,135379,1,49.676,62.000,38.040,69.931,74.586,20.857,19.321,23.454,71.610,74.210
108210,135379,1,44.533,42.859,41.422,69.994,70.366,17.114,15.909,17.783,70.327,71.061
108210,7716,1,47.135,45.502,43.456,69.032,65.947,17.095,15.984,16.723,80.937,87.639
108210,7716,1,43.403,40.616,35.687,71.592,69.496,19.685,19.293,21.398,70.315,72.720
108210,61875,2,47.807,62.196,47.529,8.505,9.147,20.388,19.569,20.811,8.921,9.435
108210,61875,2,43.157,44.970,43.000,8.563,9.164,19.607,19.046,16.786,13.569,8.275
108210,88670,2,35.059,36.323,35.444,19.290,29.034,27.176,19.663,17.624,18.940,18.439
