source,new_source,group,dijkstra_dheap,rdijkstra_dheap,dijkstra_radix,rdijkstra_radix
87560,40491,20,32.323,36.017,31.676,29.335
87560,40491,20,28.263,30.199,21.290,18.774
87560,38177,20,18.900,14.995,13.338,14.364
87560,38177,20,14.439,14.501,14.131,14.252
87560,57066,20,15.743,14.368,12.757,13.735
87560,57066,20,15.089,14.116,13.442,14.199
87560,60198,21,13.906,14.916,12.650,13.580
87560,60198,21,13.962,14.300,12.964,15.211
87560,21303,21,13.161,15.276,12.064,12.967
87560,21303,21,13.018,13.285,12.120,13.654
87560,60992,21,14.300,16.264,12.885,13.491
87560,60992,21,13.761,14.208,12.457,13.641
87560,23625,22,13.508,13.623,12.224,13.350
87560,23625,22,13.636,13.893,12.203,13.249
87560,92906,22,18.764,14.569,13.106,13.723
87560,92906,22,14.254,14.333,12.696,13.630
87560,75723,22,13.360,13.084,12.147,13.102
87560,75723,22,13.203,13.388,11.830,13.172
87560,75387,23,13.401,13.259,11.914,12.980
87560,75387,23,14.519,13.509,12.221,12.935
87560,21739,23,15.351,14.101,12.724,14.732
87560,21739,23,15.089,15.972,14.443,17.841
87560,23438,23,17.160,15.480,13.885,14.471
87560,23438,23,15.628,15.185,13.771,13.913
87560,91179,24,14.426,14.568,13.034,14.004
87560,91179,24,14.295,14.542,13.303,14.549
87560,42342,24,14.074,13.431,12.819,13.956
87560,42342,24,13.844,13.903,11.958,13.676
87560,19561,24,14.227,14.142,13.138,14.145
87560,19561,24,14.464,14.569,12.732,13.724
87560,64904,25,13.709,14.153,12.654,13.792
87560,64904,25,14.172,13.976,12.352,13.597
87560,42452,25,15.617,15.958,12.895,13.923
87560,42452,25,14.440,14.308,12.443,13.726
87560,14711,25,14.819,14.930,13.234,14.388
87560,14711,25,14.844,15.905,13.054,14.278
87560,87906,26,14.314,14.439,12.522,13.603
87560,87906,26,13.869,14.694,12.418,13.255
87560,12011,26,13.000,13.246,12.537,13.323
87560,12011,26,12.997,13.120,12.124,13.280
87560,18959,26,13.877,14.168,12.325,13.795
87560,18959,26,14.302,14.781,14.011,15.254
87560,79797,27,16.813,20.594,16.786,15.333
87560,79797,27,15.619,14.569,12.959,14.502
87560,48215,27,14.427,14.359,12.310,13.662
87560,48215,27,13.725,13.734,12.548,13.397
87560,9306,27,16.097,14.818,13.076,13.733
87560,9306,27,15.449,14.839,13.187,14.513
87560,59659,28,15.057,15.735,13.796,15.002
87560,59659,28,15.903,15.941,13.922,15.249
87560,51006,28,15.060,15.200,13.746,15.117
87560,51006,28,15.455,15.449,13.412,14.359
87560,43948,28,13.584,13.321,12.122,13.270
87560,43948,28,13.329,13.120,12.125,13.097
87560,38059,29,14.437,14.446,13.649,14.338
87560,38059,29,15.184,15.958,12.338,14.095
87560,2016,29,14.627,14.406,12.493,13.782
87560,2016,29,14.195,14.824,18.613,17.972
87560,37381,29,17.780,18.269,15.134,16.454
87560,37381,29,17.236,17.535,14.920,16.087
87560,85348,30,15.857,16.383,13.591,14.873
87560,85348,30,14.719,15.762,12.920,15.424
87560,15317,30,15.979,16.083,14.301,15.222
87560,15317,30,15.623,21.441,14.713,15.048
87560,51475,30,16.256,15.541,14.648,15.499
87560,51475,30,15.763,15.605,14.401,15.183
87560,75039,31,14.245,15.220,12.332,13.274
87560,75039,31,13.328,13.494,12.211,13.021
87560,29391,31,21.856,17.716,13.969,14.749
87560,29391,31,15.602,15.370,12.991,14.186
87560,82413,31,13.201,14.904,14.662,14.493
87560,82413,31,13.927,13.545,11.943,13.380
87560,12639,32,14.210,14.168,13.110,14.074
87560,12639,32,14.348,14.611,12.993,14.337
87560,71130,32,14.215,14.540,13.025,14.092
87560,71130,32,14.428,15.244,14.499,14.640
87560,23471,32,15.136,15.342,13.504,14.644
87560,23471,32,15.277,15.781,13.730,14.570
87560,7242,33,15.087,14.639,12.836,13.952
87560,7242,33,14.916,14.872,12.952,13.942
87560,14552,33,14.606,13.764,12.213,12.973
87560,14552,33,13.454,13.516,12.270,13.136
87560,34063,33,14.967,14.227,12.019,13.498
87560,34063,33,13.894,14.006,12.387,13.158
87560,46889,34,13.513,22.207,16.319,17.012
87560,46889,34,18.662,20.842,14.811,20.146
87560,44715,34,38.792,34.805,34.880,35.454
87560,44715,34,35.978,34.566,35.375,37.992
87560,2711,34,35.960,35.627,32.813,33.300
87560,2711,34,33.986,34.718,32.207,34.873
87560,5295,35,35.413,34.257,31.383,26.897
87560,5295,35,28.638,30.295,36.759,37.212
87560,70433,35,39.892,38.078,36.129,37.283
87560,70433,35,36.916,40.954,36.538,25.931
87560,93860,35,42.859,39.430,38.026,38.777
87560,93860,35,40.493,32.757,25.458,26.373
87560,79511,36,31.248,40.113,32.713,36.058
87560,79511,36,42.480,41.141,39.039,44.698
87560,34299,36,36.931,30.415,29.334,36.340
87560,34299,36,38.320,38.426,40.256,40.953
87560,6329,36,36.534,34.446,33.482,27.848
87560,6329,36,27.766,36.665,31.379,39.809
87560,82237,37,43.151,36.884,26.202,39.420
87560,82237,37,42.873,55.998,38.691,38.345
87560,34408,37,39.726,34.694,37.136,42.057
87560,34408,37,47.339,33.486,39.573,38.760
87560,48546,37,42.888,42.353,42.255,43.207
87560,48546,37,38.713,34.275,39.065,38.460
87560,17474,38,42.264,40.448,38.459,40.418
87560,17474,38,39.134,43.039,40.508,42.597
87560,6520,38,43.940,43.589,41.693,43.681
87560,6520,38,44.609,43.317,44.611,65.524
87560,75589,38,44.091,44.946,42.070,51.174
87560,75589,38,68.502,45.942,40.959,42.617
87560,77718,39,42.646,42.302,47.752,42.417
87560,77718,39,57.269,43.576,56.254,45.310
87560,37890,39,46.571,46.316,61.248,47.544
87560,37890,39,72.906,48.941,47.685,45.577
87560,34651,39,41.130,42.940,40.093,38.694
87560,34651,39,41.897,41.889,27.224,23.274
87560,57311,40,20.989,20.960,18.479,20.056
87560,57311,40,20.710,20.504,33.859,36.263
87560,15611,40,38.208,40.113,36.597,32.730
87560,15611,40,39.871,33.122,23.847,28.996
87560,98331,40,41.442,28.050,23.632,24.110
87560,98331,40,27.384,24.076,20.198,21.657
87560,80337,41,24.507,30.552,33.962,31.397
87560,80337,41,29.489,36.803,23.467,25.012
87560,64453,41,22.591,22.947,20.996,22.788
87560,64453,41,23.350,22.143,20.363,21.259
87560,86221,41,17.717,19.904,17.853,17.949
87560,86221,41,19.558,26.356,21.543,25.633
87560,80455,42,22.963,26.598,18.867,21.153
87560,80455,42,20.365,19.280,16.519,18.299
87560,35688,42,28.546,24.066,19.878,21.313
87560,35688,42,26.171,25.815,20.745,20.808
87560,87858,42,22.753,21.090,15.992,16.337
87560,87858,42,16.541,21.486,15.059,16.564
87560,74441,43,17.655,15.974,13.866,15.501
87560,74441,43,19.719,16.303,14.456,20.329
87560,55106,43,16.026,15.672,14.667,16.911
87560,55106,43,16.698,16.078,14.389,21.610
87560,45885,43,35.108,36.612,38.431,41.321
87560,45885,43,41.279,40.407,34.392,40.617
87560,99634,44,24.185,24.834,21.511,25.044
87560,99634,44,34.097,31.809,25.087,30.385
87560,20469,44,41.601,41.377,37.109,38.459
87560,20469,44,41.237,47.348,38.191,38.821
87560,17916,44,36.758,42.430,33.500,30.495
87560,17916,44,39.449,32.600,39.830,41.570
87560,52342,45,35.797,28.283,37.317,36.874
87560,52342,45,31.203,24.692,20.967,31.800
87560,10365,45,38.557,37.122,34.954,37.681
87560,10365,45,36.124,36.098,23.714,20.675
87560,54454,45,23.044,23.683,18.074,19.262
87560,54454,45,21.020,20.005,16.541,17.499
87560,37677,46,17.535,19.011,16.856,17.423
87560,37677,46,22.488,22.099,17.049,17.040
87560,16246,46,17.654,23.843,21.316,22.668
87560,16246,46,21.230,31.089,30.780,32.839
87560,31004,46,19.186,19.800,17.966,18.776
87560,31004,46,18.668,19.005,17.228,19.644
87560,691,47,26.094,19.796,17.005,18.045
87560,691,47,18.571,20.079,17.059,17.847
87560,44731,47,17.587,17.920,18.330,22.643
87560,44731,47,22.558,18.370,15.713,16.480
87560,20541,47,16.989,17.576,27.361,28.530
87560,20541,47,21.095,26.647,18.320,22.281
87560,45595,48,25.343,24.892,18.631,19.246
87560,45595,48,21.094,19.185,17.230,18.889
87560,47292,48,18.385,17.765,15.526,16.565
